timestamp,id_mercado,id_liga,momio_1,momio_2,momio_3,vig_pct,tendencia_1,tendencia_2,tendencia_3
2026-06-27T00:19:29.563824,882043742,31908190,1.111,5.1,34.0,12.56,DECR,DECR,DECR
2026-06-27T00:19:29.563898,882043835,31908201,1.25,6.0,6.25,12.67,INCR,INCR,DECR
2026-06-27T00:19:29.563934,882049625,31908321,1.083,7.0,31.0,9.85,INCR,DECR,INCR
2026-06-27T00:19:59.569213,882043742,31908190,1.1,5.4,41.0,11.87,INCR,INCR,DECR
2026-06-27T00:19:59.569255,882064379,31908715,1.153,5.8,15.0,10.64,INCR,INCR,DECR
2026-06-27T00:19:59.569338,882064519,31908718,2.0,2.625,4.1,12.49,DECR,DECR,INCR
2026-06-27T00:20:29.581940,882043835,31908201,1.222,6.4,6.75,12.27,DECR,DECR,DECR
2026-06-27T00:20:29.581995,882043742,31908190,1.09,5.5,56.0,11.71,INCR,DECR,INCR
2026-06-27T00:20:29.582031,882049625,31908321,1.071,7.2,34.0,10.2,INCR,INCR,DECR
2026-06-27T00:20:59.599402,884831180,31991082,1.222,4.75,11.0,11.98,DECR,DECR,INCR
2026-06-27T00:20:59.599452,882043835,31908201,1.181,7.0,7.75,11.86,INCR,INCR,DECR
2026-06-27T00:20:59.599486,882043742,31908190,1.083,5.6,67.0,11.69,INCR,DECR,INCR
2026-06-27T00:20:59.599510,882033592,31907951,1.3,4.333,8.25,12.12,DECR,INCR,DECR
2026-06-27T00:21:29.604291,882043835,31908201,1.153,7.6,8.25,12.01,INCR,INCR,DECR
2026-06-27T00:21:29.604349,882043742,31908190,1.03,6.6,501.0,12.44,INCR,DECR,INCR
2026-06-27T00:21:29.604380,882033592,31907951,1.333,4.2,7.8,11.65,INCR,DECR,DECR
2026-06-27T00:21:59.613025,882043835,31908201,1.125,6.8,12.0,11.93,INCR,INCR,DECR
2026-06-27T00:21:59.613198,884831180,31991082,1.2,4.8,12.0,12.5,INCR,INCR,DECR
2026-06-27T00:21:59.613239,882064379,31908715,1.181,5.75,14.0,9.21,DECR,DECR,INCR
2026-06-27T00:21:59.613273,882043742,31908190,1.04,6.8,71.0,12.27,INCR,INCR,DECR
2026-06-27T00:22:29.620465,882043835,31908201,1.083,8.2,14.0,11.67,DECR,INCR,INCR
2026-06-27T00:22:29.620540,882064519,31908718,2.0,2.6,4.2,12.27,DECR,DECR,INCR
2026-06-27T00:22:29.620590,882043742,31908190,1.083,5.75,51.0,11.69,DECR,DECR,INCR
2026-06-27T00:22:59.624775,882043742,31908190,1.062,6.0,56.0,12.61,INCR,DECR,INCR
2026-06-27T00:22:59.624827,882064519,31908718,2.05,2.625,4.0,11.88,DECR,INCR,INCR
2026-06-27T00:23:29.629202,882064519,31908718,2.0,2.6,4.333,11.54,DECR,INCR,INCR
2026-06-27T00:23:59.631690,882064379,31908715,1.125,6.25,19.0,10.15,INCR,INCR,DECR
2026-06-27T00:24:29.629709,884831180,31991082,1.222,4.6,12.0,11.91,DECR,INCR,INCR
2026-06-27T00:24:29.629768,882049625,31908321,1.071,7.2,41.0,9.7,INCR,DECR,INCR
2026-06-27T00:24:29.629802,882064519,31908718,2.1,2.55,4.0,11.83,DECR,DECR,INCR
2026-06-27T00:24:59.683414,882033592,31907951,1.35,4.0,7.75,11.98,INCR,INCR,DECR
2026-06-27T00:24:59.683568,882064379,31908715,1.142,6.2,17.0,9.58,DECR,DECR,INCR
2026-06-27T00:24:59.683589,882049625,31908321,1.09,6.6,34.0,9.84,DECR,DECR,INCR
2026-06-27T00:25:59.730714,882049625,31908321,1.071,7.0,41.0,10.1,INCR,INCR,DECR
2026-06-27T00:26:29.735023,882033592,31907951,1.4,3.8,6.75,12.56,DECR,INCR,INCR
